Model,acc_mean,acc_std,auroc_mean,auroc_std
KNeighborsClassifier,0.6608070315621255,0.0,0.7807152307393672,0.0
LogisticRegression,0.8146224530563324,0.0,0.8918131455542956,0.0
RandomForestClassifier,0.8101078705553336,0.0027624760548242127,0.8896184205821355,0.0013092757285514955
CNN,0.9352576911449433,0.0020507307053351143,0.9803053617477417,0.000547104385113542
RNN,0.9360167711973191,0.002602330375681248,0.9813325196504593,0.0013299097673930135
CNNRNN,0.9358369916677475,0.0019425095624794181,0.980885636806488,0.0006491147829950216
